,Y,X,Species,Tissue,Status,Count,Height,PlotN
1,1,1,XXXotherforb,Leaf,Live,2,6.5,SP01
2,1,1,XXXotherforb,Stem,NA,NA,NA,SP01
3,1,1,XXXothergram,Leaf,Live,1,NA,SP01
4,1,1,XXXothergram,Stem,NA,2,NA,SP01
5,1,1,XXXlitter,NA,Dead,NA,NA,SP01
6,1,2,XXXotherforb,Leaf,Live,5,5.1,SP01
7,1,2,Salix arctica,Leaf,Live,1,NA,SP01
8,1,2,Dryas integrifolia,Leaf,Live,1,NA,SP01
9,1,2,XXXlitter,NA,Dead,NA,NA,SP01
10,1,2,XXXothermoss,NA,Live,NA,NA,SP01
11,1,3,Salix arctica,Leaf,Live,1,4.4,SP01
12,1,3,XXXlitter,NA,Dead,NA,NA,SP01
13,1,3,XXXothermoss,NA,Live,NA,NA,SP01
14,1,4,XXXothergram,Leaf,Live,1,3.1,SP01
15,1,4,XXXothermoss,NA,Live,NA,NA,SP01
16,1,5,XXXotherforb,Leaf,Live,2,4.9,SP01
17,1,5,XXXlitter,NA,Dead,NA,NA,SP01
18,1,6,XXXothergram,Leaf,Live,3,3.1,SP01
19,1,6,XXXothermoss,NA,Live,NA,NA,SP01
20,2,1,Salix richardsonii,Leaf,Live,1,12.5,SP01
21,2,1,Salix richardsonii,Stem,Live,1,NA,SP01
22,2,1,Salix arctica,Leaf,Live,1,NA,SP01
23,2,1,XXXothergram,Leaf,Live,2,NA,SP01
24,2,1,XXXothergram,NA,Live,1,NA,SP01
25,2,1,XXXlitter,NA,Dead,NA,NA,SP01
26,2,2,Salix richardsonii,Stem,Live,1,10.8,SP01
27,2,2,Salix arctica,Leaf,Live,1,NA,SP01
28,2,2,XXXothermoss,NA,Live,NA,NA,SP01
29,2,3,Salix arctica,Leaf,Live,1,3.8,SP01
30,2,3,XXXothermoss,NA,Live,NA,NA,SP01
31,2,4,XXXotherforb,Stem,Live,1,1.9,SP01
32,2,4,XXXlitter,NA,Dead,NA,NA,SP01
33,2,4,XXXothermoss,NA,Live,NA,NA,SP01
34,2,5,XXXothergram,Leaf,Live,1,8.4,SP01
35,2,5,XXXotherforb,Leaf,Live,3,NA,SP01
36,2,5,XXXlitter,NA,Dead,NA,NA,SP01
37,2,6,Salix arctica,Leaf,Live,2,7.1,SP01
38,2,6,Salix arctica,Stem,Live,1,NA,SP01
39,2,6,XXXlitter,NA,Dead,NA,NA,SP01
40,3,1,XXXotherforb,Flower,Live,1,6.5,SP01
41,3,1,XXXotherforb,Leaf,Live,1,NA,SP01
42,3,1,XXXothergram,Leaf,Live,1,NA,SP01
43,3,2,XXXotherforb,Leaf,Live,1,1.8,SP01
44,3,2,XXXothermoss,NA,Live,NA,NA,SP01
45,3,3,Salix richardsonii,Stem,Live,1,13.1,SP01
46,3,3,XXXlitter,NA,Dead,NA,NA,SP01
47,3,4,Salix richardsonii,Leaf,Live,2,12.5,SP01
48,3,4,XXXothergram,Leaf,Live,3,NA,SP01
49,3,4,XXXothergram,Leaf,Live,2,NA,SP01
50,3,4,XXXlitter,NA,Dead,NA,NA,SP01
51,3,4,XXXothermoss,NA,Live,NA,NA,SP01
52,3,5,Salix arctica,Leaf,Live,2,3.7,SP01
53,3,5,XXXothermoss,NA,Live,NA,NA,SP01
54,3,6,Equisetum,Leaf,Live,1,12.4,SP01
55,3,6,Salix arctica,Leaf,Live,1,NA,SP01
56,3,6,XXXothermoss,NA,Live,NA,NA,SP01
57,4,1,XXXothergram,Leaf,Live,4,3.1,SP01
58,4,1,XXXlitter,NA,Dead,NA,NA,SP01
59,4,2,Salix richardsonii,Leaf,Live,1,10.2,SP01
60,4,2,XXXothergram,NA,Live,1,NA,SP01
61,4,2,XXXotherforb,Leaf,Live,1,NA,SP01
