pointID,easting,northing,GNSS_elevation,Pos_Qualit,Height_Quaity,3D_Quality,DTM_elevation
ORCA_AM01,582035.5419,7719596.787,4.937,0.004,0.009,0.01,5.012581348
ORCA_AM02,582023.3649,7719596.024,4.814,0.005,0.011,0.012,4.89199543
ORCA_AM03,582011.1739,7719595.365,4.92,0.004,0.008,0.009,4.917196751
ORCA_AM04,581998.9149,7719594.632,4.911,0.004,0.009,0.01,4.879989624
ORCA_AM05,581986.4209,7719593.964,4.73,0.004,0.009,0.01,4.760053635
ORCA_AM06,581974.2039,7719593.267,4.74,0.004,0.009,0.009,4.735831261
ORCA_AM07,581961.8959,7719592.779,4.847,0.004,0.009,0.01,4.821743011
ORCA_AM08,581949.7439,7719591.975,4.805,0.004,0.009,0.01,4.849078178
ORCA_AM09,581937.5239,7719591.333,4.783,0.004,0.009,0.009,4.81124115
ORCA_AM10,582035.1099,7719584.543,4.714,0.004,0.009,0.01,4.78068161
ORCA_AM11,582022.8689,7719583.742,4.792,0.005,0.01,0.011,4.833963871
ORCA_AM12,582010.5179,7719583.179,4.638,0.004,0.009,0.01,4.651199818
ORCA_AM13,581998.2029,7719582.382,4.47,0.004,0.009,0.01,4.548916817
ORCA_AM14,581986.1019,7719581.639,4.497,0.004,0.009,0.01,4.510656357
ORCA_AM15,581973.7269,7719580.879,4.526,0.004,0.009,0.01,4.553033829
ORCA_AM16,581961.4729,7719580.276,4.671,0.004,0.008,0.009,4.670302391
ORCA_AM17,581949.2219,7719579.463,4.594,0.005,0.01,0.012,4.666326046
ORCA_AM18,581936.9809,7719578.825,4.583,0.005,0.01,0.011,4.614720345
ORCA_AM19,582034.5789,7719572.245,4.641,0.004,0.009,0.01,4.715968609
ORCA_AM20,582022.3549,7719571.375,4.654,0.004,0.009,0.01,4.657594681
ORCA_AM21,582010.2399,7719570.744,4.373,0.004,0.009,0.01,4.402417183
ORCA_AM22,581997.9589,7719570.168,4.372,0.004,0.009,0.009,4.371234417
ORCA_AM23,581985.7369,7719569.467,4.358,0.005,0.01,0.011,4.419056416
ORCA_AM24,581973.4209,7719568.556,4.372,0.005,0.009,0.01,4.417957306
ORCA_AM25,581961.1979,7719567.981,4.482,0.005,0.009,0.01,4.440886021
ORCA_AM26,581948.8439,7719567.157,4.5,0.004,0.009,0.01,4.518801689
ORCA_AM27,581936.6349,7719566.498,4.504,0.006,0.012,0.013,4.491863251
ORCA_AM28,582034.1409,7719559.904,4.614,0.004,0.009,0.01,4.629798889
ORCA_AM29,582021.8429,7719559.059,4.446,0.006,0.012,0.013,4.444212914
ORCA_AM30,582009.5119,7719558.394,4.213,0.005,0.009,0.01,4.243732929
ORCA_AM31,581997.3199,7719557.852,4.208,0.005,0.011,0.012,4.2733531
ORCA_AM32,581985.0659,7719557.139,4.235,0.005,0.009,0.01,4.288083553
ORCA_AM33,581972.8719,7719556.296,4.26,0.005,0.01,0.011,4.255517006
ORCA_AM34,581960.5619,7719555.678,4.184,0.004,0.009,0.01,4.270411968
ORCA_AM35,581948.2789,7719554.915,4.307,0.005,0.011,0.012,4.337159634
ORCA_AM36,581936.1119,7719554.259,4.3,0.005,0.01,0.011,4.372589588
