ProjectCode,PlotID,RecordID,contributor_assigned_plot_id,email,Investigators,SiteName,Country,SiteLatitude,SiteLongitude,SiteElevation,MAT,MAP,KoppenCC,IGBPclass,CommunityDesciption,CommunitySpecies,Phenology,Functional_Group,PlotKingdom,PlotOrder,PlotFamily,PlotGenus,PlotSpecies,Additional_species_in_plot,PlotCommonName,Soil,Disturbance,DateSurvey,DateHarvest,PeakBiomass,EPSG,UTM_zone,Corner1_X,Corner1_Y,Corner1_Z,Corner2_X,Corner2_Y,Corner2_Z,Corner3_X,Corner3_Y,Corner3_Z,Corner4_X,Corner4_Y,Corner4_Z,Harvest_frame_used,plot_side_length,AGB,Comp1,Comp1_Mass,Comp2,Comp2_Mass,Comp3,Comp3_Mass,Comp4,Comp4_Mass,Biomass_Subsample_Archived,CarbCon,Comp1_CarbCon,Comp2_CarbCon,Comp3_CarbCon,Comp4_CarbCon,NitCon,Comp1_NitCon,Comp2_NitCon,Comp3_NitCon,Comp4_NitCon,Notes,Acknowledgements,Acknowledgements_Funding,Acknowledgements_Permission,Acknowledgements_Assistance,Agreement,Protocol_version,Wind_speed,Cloud_conditions,Drone,Notes_from_processing_and_review,Point_cloud_quality,binomial_species,plot_area_from_field_length,Area_from_coordinates_m2,AGB_spatially_normalised_g_m2,Biovolume_m3,HAG_plotmin_of_cellmax_m,HAG_plotmax_of_cellmax_m,HAG_plotmean_of_cellmax_m,HAG_plotmedian_of_cellmax_m,HAG_plot25percentile_of_cellmax_m,HAG_plot75percentile_of_cellmax_m,mean_NDVI_018,mean_NDVI_047,mean_NDVI_119,mean_NDVI_121
20160725_AC_ORC,P01,1,SP01,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,5,-10,160,ET,6 (Closed shrubland),Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Plantae,Malpighiales,Salicaceae,Salix,richardsonii,Equisetum,Richardson's willow,organic soils and ice rich permafrost on alluvial fan.,None known,25/07/2016 00:00,31/07/2016 00:00,TRUE,32607,7N,582030.809,7719547.809,4.184,582030.665,7719547.344,4.203,582031.137,7719547.167,4.22,582031.312,7719547.607,4.207,TRUE,0.5,69.14,Woody Stems,39.78,Leaves,14.82,Herbaceous,14.54,NA,NA,TRUE,48.55675958,52.2505,44.01359,43.08171,NA,0.821019605,0.338667,1.623065,1.323198,NA,"""Cunliffe et al. In Prep. Also some Equisetum (plant) present in plot","This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to IHM-S, NERC GEF (NERC/GEF:1063 and 1069) to IHM-S and AMC","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,Salix richardsonii,0.25,0.2508,276.56,0.03705,0.03,0.26,0.1482,0.15,0.11,0.18,0.670943797,0.703261077,0.668223381,0.705842137
20160725_AC_ORC,P02,2,SP02,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,5,-10,160,ET,6 (Closed shrubland),Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Plantae,Malpighiales,Salicaceae,Salix,richardsonii,Equisetum,Richardson's willow,organic soils and ice rich permafrost on alluvial fan.,None known,25/07/2016 00:00,31/07/2016 00:00,TRUE,32607,7N,582031.786,7719552.94,4.414,582031.659,7719552.451,4.379,582032.122,7719552.292,4.388,582032.274,7719552.827,4.413,TRUE,0.5,63.74,Woody Stems,30.32,Leaves,18.45,Herbaceous,14.97,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Cunliffe et al. In Prep. Also some Equisetum (plant) present in plot","This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to IHM-S, NERC GEF (NERC/GEF:1063 and 1069) to IHM-S and AMC","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,Salix richardsonii,0.25,0.2624,254.96,0.0269,0.01,0.21,0.1076,0.11,0.08,0.13,0.703784525,0.701490939,0.675722659,0.71459204
20160725_AC_ORC,P03,3,SP03,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,5,-10,160,ET,6 (Closed shrubland),Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Plantae,Malpighiales,Salicaceae,Salix,richardsonii,Equisetum,Richardson's willow,organic soils and ice rich permafrost on alluvial fan.,None known,25/07/2016 00:00,31/07/2016 00:00,TRUE,32607,7N,582034.752,7719543.146,4.072,582034.711,7719542.655,4.092,582035.198,7719542.606,4.099,582035.243,7719543.114,4.084,TRUE,0.5,44.87,Woody Stems,18.21,Leaves,12.28,Herbaceous,14.38,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Cunliffe et al. In Prep. Also some Equisetum (plant) present in plot","This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to IHM-S, NERC GEF (NERC/GEF:1063 and 1069) to IHM-S and AMC","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,Salix richardsonii,0.25,0.246,179.48,0.03035,0.03,0.25,0.1214,0.11,0.08,0.16,0.747148573,0.695383489,0.662406743,0.700234771
20160725_AC_ORC,P04,4,SP04,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,5,-10,160,ET,6 (Closed shrubland),Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Plantae,Malpighiales,Salicaceae,Salix,richardsonii,Equisetum,Richardson's willow,organic soils and ice rich permafrost on alluvial fan.,None known,25/07/2016 00:00,31/07/2016 00:00,TRUE,32607,7N,582023.646,7719553.576,4.225,582023.543,7719553.093,4.211,582024.013,7719552.963,4.22,582024.147,7719553.455,4.214,TRUE,0.5,42.84,Woody Stems,8.05,Leaves,14.79,Herbaceous,20,NA,NA,TRUE,45.29067222,49.25039,45.44258,43.58455,NA,0.889619998,0.156825,1.249455,0.918472,NA,"""Cunliffe et al. In Prep. Also some Equisetum (plant) present in plot","This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to IHM-S, NERC GEF (NERC/GEF:1063 and 1069) to IHM-S and AMC","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,Salix richardsonii,0.25,0.2516,171.36,0.029875,0,0.19,0.1195,0.12,0.1,0.14,0.668735325,0.679252803,0.66493088,0.707815826
20160725_AC_ORC,P05,5,SP05,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,5,-10,160,ET,6 (Closed shrubland),Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Plantae,Malpighiales,Salicaceae,Salix,richardsonii,Equisetum,Richardson's willow,organic soils and ice rich permafrost on alluvial fan.,None known,25/07/2016 00:00,31/07/2016 00:00,TRUE,32607,7N,582025.118,7719548.174,4.092,582025.101,7719547.665,4.106,582025.588,7719547.656,4.107,582025.617,7719548.172,4.135,TRUE,0.5,37.32,Woody Stems,6.52,Leaves,17.99,Herbaceous,12.81,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Cunliffe et al. In Prep. Also some Equisetum (plant) present in plot","This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to IHM-S, NERC GEF (NERC/GEF:1063 and 1069) to IHM-S and AMC","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,Salix richardsonii,0.25,0.2528,149.28,0.01885,0,0.18,0.0754,0.08,0.06,0.09,0.72723937,0.707489312,0.682027936,0.720160425
20160725_AC_ORC,P06,6,SP06,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,5,-10,160,ET,6 (Closed shrubland),Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Plantae,Malpighiales,Salicaceae,Salix,richardsonii,Equisetum,Richardson's willow,organic soils and ice rich permafrost on alluvial fan.,None known,25/07/2016 00:00,31/07/2016 00:00,TRUE,32607,7N,582028.295,7719544.264,4.075,582028.195,7719543.761,4.105,582028.687,7719543.643,4.098,582028.758,7719544.143,4.069,TRUE,0.5,49.74,Woody Stems,23.29,Leaves,14.45,Herbaceous,12,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Cunliffe et al. In Prep. Also some Equisetum (plant) present in plot","This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to IHM-S, NERC GEF (NERC/GEF:1063 and 1069) to IHM-S and AMC","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,Salix richardsonii,0.25,0.2497,198.96,0.01625,0,0.17,0.065,0.06,0.04,0.09,0.606480777,0.689552665,0.667775273,0.688375831
20160725_AC_ORC,P07,7,SP07,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,5,-10,160,ET,6 (Closed shrubland),Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Plantae,Malpighiales,Salicaceae,Salix,richardsonii,Equisetum,Richardson's willow,organic soils and ice rich permafrost on alluvial fan.,None known,25/07/2016 00:00,31/07/2016 00:00,TRUE,32607,7N,582016.461,7719542.671,3.883,582016.073,7719542.339,3.878,582016.437,7719541.983,3.904,582016.772,7719542.311,3.919,TRUE,0.5,118.89,Woody Stems,72.11,Leaves,11.7,Herbaceous,35.08,NA,NA,TRUE,45.37093899,46.46513,43.33772,43.79986,NA,0.36581448,0.174732,1.195517,0.481876,NA,"""Cunliffe et al. In Prep. Also some Equisetum (plant) present in plot","This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to IHM-S, NERC GEF (NERC/GEF:1063 and 1069) to IHM-S and AMC","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,Salix richardsonii,0.25,0.2408,475.56,0.1006,0.2,0.53,0.4024,0.404240741,0.37,0.44,0.693070114,0.656063378,0.674228728,0.721955597
20160725_AC_ORC,P08,8,SP08,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,5,-10,160,ET,6 (Closed shrubland),Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Plantae,Malpighiales,Salicaceae,Salix,richardsonii,Equisetum,Richardson's willow,organic soils and ice rich permafrost on alluvial fan.,None known,25/07/2016 00:00,31/07/2016 00:00,TRUE,32607,7N,582014.762,7719541.599,3.942,582014.308,7719541.324,3.953,582014.647,7719540.936,3.967,582015.032,7719541.197,3.934,TRUE,0.5,105.03,Woody Stems,58.79,Leaves,13.04,Herbaceous,33.2,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Cunliffe et al. In Prep. Also some Equisetum (plant) present in plot","This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to IHM-S, NERC GEF (NERC/GEF:1063 and 1069) to IHM-S and AMC","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,Salix richardsonii,0.25,0.2473,420.12,0.068125,0,0.63,0.2725,0.27,0.21,0.36,0.725910783,0.617118537,0.627834201,0.689959288
20160725_AC_ORC,P09,9,SP09,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,5,-10,160,ET,6 (Closed shrubland),Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Plantae,Malpighiales,Salicaceae,Salix,richardsonii,Equisetum,Richardson's willow,organic soils and ice rich permafrost on alluvial fan.,None known,25/07/2016 00:00,31/07/2016 00:00,TRUE,32607,7N,582012.73,7719540.446,3.871,582012.347,7719540.08,3.922,582012.728,7719539.782,3.929,582013.051,7719540.15,3.941,TRUE,0.5,165.92,Woody Stems,97.73,Leaves,12.19,Herbaceous,56,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Cunliffe et al. In Prep. Also some Equisetum (plant) present in plot","This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to IHM-S, NERC GEF (NERC/GEF:1063 and 1069) to IHM-S and AMC","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,Salix richardsonii,0.25,0.2337,663.68,0.099675,0.04,0.6,0.3987,0.4,0.34,0.46,0.767862618,0.6644032,0.68377459,0.716863632
20160725_AC_ORC,P10,10,SP10,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,5,-10,160,ET,6 (Closed shrubland),Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Plantae,Malpighiales,Salicaceae,Salix,richardsonii,Equisetum,Richardson's willow,organic soils and ice rich permafrost on alluvial fan.,None known,25/07/2016 00:00,31/07/2016 00:00,TRUE,32607,7N,581997.698,7719546.153,4.044,581997.254,7719545.905,4.079,581997.526,7719545.492,4.069,581997.94,7719545.763,4.034,TRUE,0.5,193.13,Woody Stems,137.48,Leaves,18.05,Herbaceous,37.6,NA,NA,TRUE,49.68948832,52.19672,42.8742,43.79379,NA,0.272346477,0.093866,1.213891,0.472948,NA,"""Cunliffe et al. In Prep. Also some Equisetum (plant) present in plot","This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to IHM-S, NERC GEF (NERC/GEF:1063 and 1069) to IHM-S and AMC","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,Salix richardsonii,0.25,0.2389,772.52,0.111025,0,0.62,0.4441,0.434906953,0.38,0.51,0.712146699,0.721350968,0.711106002,0.731709778
