"ndvi_grain","model_form","a","b","RMSE"
"b","Y = a e(b X)","0.901 ± 2.194","9.475 ± 3.221",616.5
"b","Y = a e(b X)","5.616 ± 11.816","7.29 ± 2.89",630.3
"b","Y = a e(b X)","7.459 ± 15.135","6.743 ± 2.724",634.1
"b","Y = a e(b X)","46.041 ± 63.156","4.061 ± 1.744",637.9
"b","Y = a e(b X)","38.918 ± 68.261","2.247 ± 2.365",87
"b","Y = a e(b X)","58.286 ± 81.611","1.77 ± 1.963",87.1
"b","Y = a e(b X)","108.331 ± 139.843","0.877 ± 1.777",88
"b","Y = a e(b X)","164.353 ± 145.315","0.288 ± 1.167",88.2
"b","Y = a e(b X)","0.996 ± 1.281","5.974 ± 1.717",26.2
"b","Y = a e(b X)","2.494 ± 2.648","4.924 ± 1.471",26.4
"b","Y = a e(b X)","2.736 ± 2.704","4.694 ± 1.338",26
"b","Y = a e(b X)","18.845 ± 13.673","1.954 ± 0.941",28.5
