"ndvi_grain","model_form","a","b","r2","resid"
"0.121","ln(Y) = a X + b","13.04 ± 4.049","-2.976 ± 2.987",0.23,0.737
"0.119","ln(Y) = a X + b","9.902 ± 3.373","-0.372 ± 2.39",0.2,0.752
"0.047","ln(Y) = a X + b","7.412 ± 3.103","1.282 ± 2.244",0.14,0.779
"0.018","ln(Y) = a X + b","4.947 ± 2.037","2.909 ± 1.539",0.15,0.777
"0.121","ln(Y) = a X + b","3.307 ± 2.005","2.808 ± 1.479",0.07,0.365
"0.119","ln(Y) = a X + b","2.518 ± 1.646","3.464 ± 1.166",0.06,0.367
"0.047","ln(Y) = a X + b","1.207 ± 1.496","4.374 ± 1.082",0.02,0.376
"0.018","ln(Y) = a X + b","0.772 ± 0.985","4.664 ± 0.744",0.02,0.376
"0.121","ln(Y) = a X + b","5.54 ± 1.937","0.263 ± 1.428",0.19,0.353
"0.119","ln(Y) = a X + b","4.429 ± 1.589","1.213 ± 1.126",0.19,0.354
"0.047","ln(Y) = a X + b","4.183 ± 1.389","1.326 ± 1.005",0.21,0.349
"0.018","ln(Y) = a X + b","1.45 ± 0.998","3.255 ± 0.754",0.06,0.381
